id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C00115,Nom_115,Prenom_115,client115@email.com,1971-05-15,m,TNG,+212653518590,2024-01-03,Paid
C00116,Nom_116,Prenom_116,client116@email.com,1969-05-15,Femme,tanger,+212643273288,2023-10-31,Direct
C00117,Nom_117,Prenom_117,client117email.com,1957-05-15,0,CASABLANCA,+212627215178,2024-05-09,Social
C00118,Nom_118,Prenom_118,client118@email.com,1961-05-15,m,Tnja,+212635592508,2023-12-26,Organic
C00119,Nom_119,Prenom_119,client119email.com,1992-05-15,Homme,rbat,+212646476238,2024-10-24,Social
C00120,Nom_120,Prenom_120,client120@email.com,1958-05-15,1,Tnja,+212652208272,2024-08-03,Organic
C00121,Nom_121,Prenom_121,client121@email.com,2003-05-15,m,TNG,+212611366861,2024-08-06,Social
C00122,Nom_122,Prenom_122,client122@email.com,1998-05-15,Homme,Agadir,+212662176044,2024-10-05,Direct
C00123,Nom_123,Prenom_123,client123@email.com,1975-05-15,Femme,rbat,+212645552130,2024-11-09,Paid
C00124,Nom_124,Prenom_124,client124@email.com,1982-05-15,Femme,TNG,+212648197871,2024-04-12,Paid
C00125,Nom_125,Prenom_125,client125@email.com,1977-05-15,f,cbl,+212642707015,2024-05-19,Social
C00126,Nom_126,Prenom_126,client126@email.com,1960-05-15,1,tanger,+212685657386,2024-05-12,Social
C00127,Nom_127,Prenom_127,client127@email.com,1995-05-15,1,Agadir,+212627133510,2024-05-13,Direct
C00128,Nom_128,Prenom_128,client128@email.com,1972-05-15,f,CASABLANCA,+212686674231,2023-08-31,Organic
C00129,Nom_129,Prenom_129,client129@email.com,1954-05-15,f,RABAT,+212652415761,2024-02-16,Social
C00130,Nom_130,Prenom_130,client130@email.com,2004-05-15,1,RABAT,+212635884181,2024-05-25,Paid
C00131,Nom_131,Prenom_131,client131@email.com,1957-05-15,Homme,tanger,+212635666606,2023-02-24,Paid
C00132,Nom_132,Prenom_132,client132@email.com,1992-05-15,1,RABAT,+212641758337,2023-04-05,Direct
C00133,Nom_133,Prenom_133,client133@email.com,2004-05-15,m,TANGER,+212677583547,2023-04-25,Social
C00134,Nom_134,Prenom_134,client134@email.com,1999-05-15,Homme,tanger,+212668783330,2023-12-30,Direct
C00135,Nom_135,Prenom_135,client135@email.com,1976-05-15,m,TNG,+212646720070,2023-08-05,Social
C00136,Nom_136,Prenom_136,client136@email.com,1996-05-15,Femme,rbat,+212642165143,2024-05-11,Direct
C00137,Nom_137,Prenom_137,client137@email.com,2003-05-15,0,cbl,+212665457915,2024-05-07,Direct
C00138,Nom_138,Prenom_138,client138@email.com,1988-05-15,Femme,casa,+212615063115,2024-01-04,Social
C00139,Nom_139,Prenom_139,client139@email.com,1972-05-15,f,RABAT,+212658714133,2023-06-27,Social
C00140,Nom_140,Prenom_140,client140@email.com,1951-05-15,Homme,tanger,+212673399995,2023-04-04,Paid
C00141,Nom_141,Prenom_141,client141@email.com,1979-05-15,m,Agadir,+212651543734,2024-03-01,Direct
C00142,Nom_142,Prenom_142,client142@email.com,1985-05-15,Homme,TNG,+212677535075,2023-03-14,Social
C00143,Nom_143,Prenom_143,client143@email.com,1969-05-15,Femme,casa,+212620580231,2024-04-02,Organic
C00144,Nom_144,Prenom_144,client144@email.com,1966-05-15,Femme,casa,+212681394201,2023-09-24,Direct
C00145,Nom_145,Prenom_145,client145@email.com,1963-05-15,f,Agadir,+212699957618,2023-04-07,Direct
C00146,Nom_146,Prenom_146,client146@email.com,1957-05-15,0,TANGER,+212638245467,2023-04-26,Social
C00147,Nom_147,Prenom_147,client147@email.com,2004-05-15,m,TANGER,+212656419467,2024-11-05,Organic
C00148,Nom_148,Prenom_148,client148@email.com,1979-05-15,f,Tnja,+212688801044,2023-03-24,Organic
C00149,Nom_149,Prenom_149,client149@email.com,1966-05-15,Homme,TNG,+212627626722,2023-08-02,Paid
C00150,Nom_150,Prenom_150,client150@email.com,1989-05-15,f,TANGER,+212692294700,2023-04-29,Paid
C00151,Nom_151,Prenom_151,client151@email.com,1981-05-15,Femme,casa,+212622313090,2023-04-03,Organic
C00152,Nom_152,Prenom_152,client152@email.com,2003-05-15,0,Tnja,+212682287700,2023-11-14,Direct
C00153,Nom_153,Prenom_153,client153@email.com,1968-05-15,Femme,cbl,+212624327418,2023-04-29,Direct
C00154,Nom_154,Prenom_154,client154@email.com,1953-05-15,f,RABAT,+212614497237,2024-07-10,Paid
C00155,Nom_155,Prenom_155,client155@email.com,1997-05-15,0,tanger,+212621012248,2023-12-08,Direct
C00156,Nom_156,Prenom_156,client156@email.com,1966-05-15,m,cbl,+212614124655,2023-09-08,Social
C00157,Nom_157,Prenom_157,client157@email.com,1959-05-15,Femme,Tnja,+212668345509,2023-08-29,Direct
C00158,Nom_158,Prenom_158,client158@email.com,1986-05-15,m,RABAT,+212671448031,2023-11-16,Organic
C00159,Nom_159,Prenom_159,client159@email.com,2000-05-15,1,tanger,+212655999940,2024-02-13,Social
C00160,Nom_160,Prenom_160,client160@email.com,1959-05-15,Homme,RABAT,+212685450467,2023-02-19,Paid
C00161,Nom_161,Prenom_161,client161@email.com,1995-05-15,f,TNG,+212656309444,2023-04-29,Paid
C00162,Nom_162,Prenom_162,client162@email.com,1966-05-15,f,CASABLANCA,+212652207197,2023-06-23,Organic
C00163,Nom_163,Prenom_163,client163@email.com,1952-05-15,Femme,TANGER,+212630850066,2024-06-30,Paid
C00164,Nom_164,Prenom_164,client164@email.com,1998-05-15,Homme,cbl,+212650708281,2024-05-28,Paid
C00165,Nom_165,Prenom_165,client165@email.com,1987-05-15,Femme,Tnja,+212634348258,2023-08-16,Direct
C00166,Nom_166,Prenom_166,client166@email.com,1952-05-15,1,CASABLANCA,+212670517840,2023-11-12,Organic
C00167,Nom_167,Prenom_167,client167@email.com,1988-05-15,Femme,TANGER,+212642367667,2024-05-17,Direct
C00168,Nom_168,Prenom_168,client168@email.com,1984-05-15,1,RABAT,+212691659259,2024-11-01,Paid
C00169,Nom_169,Prenom_169,client169@email.com,1962-05-15,m,Tnja,+212653080847,2023-05-30,Social
C00170,Nom_170,Prenom_170,client170@email.com,1974-05-15,1,rbat,+212663699600,2024-02-03,Social
C00171,Nom_171,Prenom_171,client171@email.com,1969-05-15,Homme,Agadir,+212657261583,2024-07-19,Organic
C00172,Nom_172,Prenom_172,client172@email.com,1991-05-15,1,TNG,+212692992198,2024-05-12,Paid
C00173,Nom_173,Prenom_173,client173@email.com,2005-05-15,m,Tnja,+212699899399,2024-06-23,Paid
C00174,Nom_174,Prenom_174,client174@email.com,1980-05-15,m,CASABLANCA,+212642805041,2023-09-09,Organic
C00175,Nom_175,Prenom_175,client175@email.com,1982-05-15,Femme,cbl,+212687987361,2023-11-06,Organic
C00176,Nom_176,Prenom_176,client176@email.com,1966-05-15,m,tanger,+212683539443,2023-07-06,Social
C00177,Nom_177,Prenom_177,client177@email.com,1953-05-15,m,tanger,+212696972890,2023-10-09,Organic
C00178,Nom_178,Prenom_178,client178@email.com,2003-05-15,0,TANGER,+212649366405,2023-06-21,Paid
C00179,Nom_179,Prenom_179,client179@email.com,1982-05-15,Femme,cbl,+212669448209,2023-12-05,Paid
C00180,Nom_180,Prenom_180,client180@,1979-05-15,0,cbl,+212667900793,2023-07-15,Paid
C00181,Nom_181,Prenom_181,client181@email.com,1985-05-15,Femme,cbl,+212628131738,2023-11-23,Paid
C00182,Nom_182,Prenom_182,client182@email.com,1976-05-15,m,cbl,+212658739955,2023-04-02,Organic
C00183,Nom_183,Prenom_183,client183@email.com,1986-05-15,Femme,TANGER,+212689206575,2024-02-14,Organic
C00184,Nom_184,Prenom_184,client184@email.com,1850-05-15,Femme,cbl,+212649583162,2023-06-12,Social
C00185,Nom_185,Prenom_185,client185@email.com,1955-05-15,f,TNG,+212670742079,2023-08-23,Paid
C00186,Nom_186,Prenom_186,client186@email.com,1962-05-15,Homme,TANGER,+212668363678,2023-02-07,Direct
C00187,Nom_187,Prenom_187,client187@email.com,1995-05-15,1,CASABLANCA,+212688454060,2024-11-01,Paid
C00188,Nom_188,Prenom_188,client188@email,1958-05-15,1,cbl,+212619401433,2023-09-24,Paid
C00189,Nom_189,Prenom_189,client189@email.com,1973-05-15,f,RABAT,+212687176220,2023-02-20,Direct
C00190,Nom_190,Prenom_190,client190@email.com,1966-05-15,m,CASABLANCA,+212689135785,2023-09-12,Direct
C00191,Nom_191,Prenom_191,client191@email.com,1960-05-15,f,TNG,+212668198920,2024-11-04,Paid
C00192,Nom_192,Prenom_192,client192@email.com,1983-05-15,0,Tnja,+212610429688,2024-07-21,Paid
C00193,Nom_193,Prenom_193,client193@email.com,1962-05-15,Femme,tanger,+212619641620,2023-04-21,Organic
C00194,Nom_194,Prenom_194,client194@email.com,2030-05-15,f,tanger,+212673647602,2023-06-21,Organic
C00195,Nom_195,Prenom_195,client195@email.com,1993-05-15,Femme,rbat,+212673246670,2023-02-23,Direct
C00196,Nom_196,Prenom_196,client196@email.com,1961-05-15,1,Tnja,+212630936246,2024-08-11,Social
C00197,Nom_197,Prenom_197,client197@email.com,1960-05-15,1,rbat,+212620964818,2024-09-07,Organic
C00198,Nom_198,Prenom_198,client198@email.com,1963-05-15,f,cbl,+212672544040,2023-04-06,Direct
C00199,Nom_199,Prenom_199,client199@email.com,1959-05-15,0,RABAT,+212655314565,2024-05-19,Direct
C00200,Nom_200,Prenom_200,client200@email.com,1971-05-15,Homme,Tnja,+212686117549,2023-10-22,Social
C00201,Nom_201,Prenom_201,client201@email.com,1981-05-15,m,RABAT,+212620310740,2024-05-14,Organic
C00202,Nom_202,Prenom_202,client202@email.com,1984-05-15,m,TANGER,+212673813843,2023-12-23,Organic
C00203,Nom_203,Prenom_203,client203@email.com,2003-05-15,1,rbat,+212640020461,2024-11-08,Paid
C00204,Nom_204,Prenom_204,client204@email.com,1996-05-15,m,tanger,+212635366130,2024-02-01,Social
C00205,Nom_205,Prenom_205,client205@email.com,1985-05-15,Femme,RABAT,+212674036733,2023-11-10,Paid
C00206,Nom_206,Prenom_206,client206@email.com,1983-05-15,m,Tnja,+212652594959,2023-10-28,Organic
C00207,Nom_207,Prenom_207,client207@email.com,1977-05-15,1,TANGER,+212625590168,2024-07-25,Direct
C00208,Nom_208,Prenom_208,client208@email.com,1956-05-15,Femme,Tnja,+212672002144,2024-02-12,Social
C00209,Nom_209,Prenom_209,client209@email.com,1951-05-15,0,rbat,+212643043723,2023-05-12,Social
C00210,Nom_210,Prenom_210,client210@email.com,1995-05-15,Homme,CASABLANCA,+212624131837,2024-02-21,Paid
C00211,Nom_211,Prenom_211,client211@email.com,1999-05-15,Femme,RABAT,+212665364483,2023-03-27,Social
C00212,Nom_212,Prenom_212,client212@email.com,1959-05-15,1,TANGER,+212669571834,2023-11-10,Social
C00213,Nom_213,Prenom_213,client213@email.com,2030-05-15,f,casa,+212658799842,2023-11-15,Direct
C00214,Nom_214,Prenom_214,client214@email.com,2003-05-15,m,rbat,+212633205280,2024-01-18,Direct
C00215,Nom_215,Prenom_215,client215@email.com,1990-05-15,Femme,Tnja,+212680029782,2023-01-17,Social
C00216,Nom_216,Prenom_216,client216@email.com,1956-05-15,1,CASABLANCA,+212649630931,2023-10-05,Organic
C00217,Nom_217,Prenom_217,client217@email.com,1964-05-15,1,CASABLANCA,+212695151900,2024-03-27,Paid
C00218,Nom_218,Prenom_218,client218@email.com,1997-05-15,Homme,TANGER,+212618797137,2023-08-24,Paid
C00219,Nom_219,Prenom_219,client219@email.com,1971-05-15,0,cbl,+212640030011,2024-02-16,Paid
C00220,Nom_220,Prenom_220,client220@email.com,1986-05-15,m,rbat,+212669076065,2023-03-12,Direct
C00221,Nom_221,Prenom_221,client221@email.com,1974-05-15,f,Tnja,+212698195967,2023-04-10,Social
C00222,Nom_222,Prenom_222,client222@email.com,1950-05-15,1,tanger,+212673721030,2023-10-11,Organic
C00223,Nom_223,Prenom_223,client223@email.com,1976-05-15,1,rbat,+212663039497,2024-05-12,Direct
C00224,Nom_224,Prenom_224,client224@email.com,1985-05-15,0,cbl,+212695965893,2024-01-05,Social
C00225,Nom_225,Prenom_225,client225@email.com,1981-05-15,Femme,rbat,+212669333013,2023-03-10,Direct
C00226,Nom_226,Prenom_226,client226@email.com,2000-05-15,m,RABAT,+212649920931,2024-09-10,Social
C00227,Nom_227,Prenom_227,client227@email.com,1982-05-15,1,casa,+212611860624,2023-04-07,Social
C00228,Nom_228,Prenom_228,client228@email.com,1997-05-15,Femme,Agadir,+212646304724,2023-07-23,Social
C00229,Nom_229,Prenom_229,client229@email.com,1996-05-15,f,rbat,+212633001484,2024-08-06,Direct
C00230,Nom_230,Prenom_230,client230@email.com,1979-05-15,Homme,rbat,+212644909379,2024-01-08,Paid
C00231,Nom_231,Prenom_231,client231@email.com,1955-05-15,m,TNG,+212684808188,2024-07-02,Social
C00232,Nom_232,Prenom_232,client232@email.com,1992-05-15,f,rbat,+212698390504,2023-03-13,Direct
C00233,Nom_233,Prenom_233,client233@email.com,1963-05-15,Femme,Tnja,+212663490927,2024-08-26,Direct
C00234,Nom_234,Prenom_234,client234@email.com,1987-05-15,m,tanger,+212651880849,2024-05-03,Paid
C00235,Nom_235,Prenom_235,client235@email.com,1990-05-15,Homme,casa,+212695241140,2023-03-11,Organic
C00236,Nom_236,Prenom_236,client236@email.com,1998-05-15,Homme,RABAT,+212659179484,2023-12-06,Direct
C00237,Nom_237,Prenom_237,client237@email.com,1975-05-15,0,tanger,+212621341935,2024-08-24,Paid
C00238,Nom_238,Prenom_238,client238@email.com,1993-05-15,Femme,cbl,+212629821893,2024-07-31,Social
C00239,Nom_239,Prenom_239,client239@email.com,1998-05-15,m,tanger,+212616660798,2023-06-14,Organic
C00240,Nom_240,Prenom_240,client240@email.com,1983-05-15,m,rbat,+212617894769,2023-05-30,Paid
C00241,Nom_241,Prenom_241,client241@email.com,1957-05-15,f,tanger,+212679568352,2023-02-16,Organic
C00242,Nom_242,Prenom_242,client242@email.com,1967-05-15,f,tanger,+212643827169,2023-04-28,Direct
C00243,Nom_243,Prenom_243,client243@,1962-05-15,0,casa,+212621995594,2024-07-16,Direct
C00244,Nom_244,Prenom_244,client244@email.com,1962-05-15,Femme,RABAT,+212668996683,2024-04-13,Social
C00245,Nom_245,Prenom_245,client245@email.com,1988-05-15,0,rbat,+212614177250,2024-03-30,Paid
C00246,Nom_246,Prenom_246,client246@email.com,1984-05-15,0,casa,+212631193682,2024-02-09,Organic
C00247,Nom_247,Prenom_247,client247@email.com,2000-05-15,0,Agadir,+212689588026,2024-05-17,Paid
C00248,Nom_248,Prenom_248,client248@email.com,1964-05-15,m,rbat,+212690615778,2023-09-22,Direct
C00249,Nom_249,Prenom_249,client249@email.com,1971-05-15,m,RABAT,+212674641543,2023-12-01,Paid
C00250,Nom_250,Prenom_250,client250@email.com,1969-05-15,f,TNG,+212647158352,2024-11-20,Social
C00251,Nom_251,Prenom_251,client251@email.com,1980-05-15,f,Tnja,+212698132583,2023-07-21,Organic
C00252,Nom_252,Prenom_252,client252@email.com,1971-05-15,0,RABAT,+212640022715,2023-08-29,Organic
C00253,Nom_253,Prenom_253,client253@email.com,1996-05-15,1,TNG,+212660163654,2023-04-28,Organic
